Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
07/21/2023,29,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/22/2023,22,0,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/23/2023,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/24/2023,479,0,479,245,6,0,6,12,0,12,0,0,0,0,0,0,0.0375782881,0,0.0375782881
07/25/2023,87,0,87,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/26/2023,58,0,58,39,0,0,0,1,0,1,0,0,0,0,0,0,0.01724137931,0,0.01724137931
07/27/2023,39,0,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/28/2023,49,0,49,32,0,0,0,3,0,3,0,0,0,0,0,0,0.0612244898,0,0.0612244898
07/29/2023,20,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/30/2023,28,0,28,18,0,0,0,1,0,1,0,0,0,0,0,0,0.03571428571,0,0.03571428571
07/31/2023,22,0,22,16,0,0,0,1,0,1,0,0,0,0,0,0,0.04545454545,0,0.04545454545
08/01/2023,27,0,27,11,1,0,1,1,0,1,0,0,0,0,0,0,0.07407407407,0,0.07407407407
08/02/2023,56,0,56,14,0,0,0,-2,0,-2,0,0,0,0,0,0,-0.03571428571,0,-0.03571428571
08/03/2023,59,0,59,9,1,0,1,0,0,0,0,0,0,0,0,0,0.01694915254,0,0.01694915254
08/04/2023,57,0,57,7,12,0,12,0,0,0,0,0,0,0,0,0,0.2105263158,0,0.2105263158
08/05/2023,22,0,22,15,0,0,0,1,0,1,0,0,0,0,0,0,0.04545454545,0,0.04545454545
08/06/2023,26,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2023,618,0,618,372,15,0,15,8,0,8,0,0,0,1,0,1,0.03883495146,0,0.03883495146
08/08/2023,178,0,178,118,3,0,3,1,0,1,0,0,0,0,0,0,0.02247191011,0,0.02247191011
08/09/2023,148,0,148,75,2,0,2,1,0,1,2,0,2,0,0,0,0.03378378378,0,0.03378378378
08/10/2023,160,0,160,106,2,0,2,1,0,1,2,0,2,0,0,0,0.03125,0,0.03125
