"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
5,0,23,2022,21,,202221,"[""28840888"",""28832156"",""28834182"",""28821750"",""28569368""]",5,46,34,
2,0,25,2021,34,,202134,"[""17056173"",""17047641""]",8,1,0,
0,0,6,2022,23,,202223,"[]",6,2,2,
2,0,12,2022,15,,202215,"[""15192262"",""27140637""]",4,8,3,
3,0,29,2022,26,,202226,"[""30441498"",""30422662"",""30435019""]",6,5,3,
1,0,7,2022,10,,202210,"[""25654707""]",3,4,1,
2,0,28,2022,21,,202221,"[""29091136"",""29097024""]",5,2,1,
0,0,14,2022,19,,202219,"[]",5,1,1,
1,0,18,2021,15,,202115,"[""12152853""]",4,6,3,
1,0,3,2022,5,,20225,"[""24376204""]",2,3,1,
1,0,3,2021,22,,202122,"[""14995135""]",6,1,0,
1,0,16,2022,11,,202211,"[""26088374""]",3,5,3,
1,0,14,2021,41,,202141,"[""4597254""]",10,1,0,
1,0,8,2022,27,,202227,"[""30810196""]",7,4,4,
0,0,21,2022,16,,202216,"[]",4,1,0,
3,0,27,2021,12,,202112,"[""11718935"",""13194734"",""2554166""]",3,5,3,
2,0,21,2022,8,,20228,"[""25134255"",""25128430""]",2,2,2,
2,0,17,2021,24,,202124,"[""9619796"",""15319922""]",6,1,0,
2,0,21,2022,12,,202212,"[""26259829"",""430273""]",3,5,1,
0,0,20,2022,25,,202225,"[]",6,4,2,
0,0,1,2022,17,,202217,"[]",5,8,2,
0,0,15,2022,2,,20222,"[]",1,1,0,
1,0,29,2022,4,,20224,"[""24178230""]",1,5,1,
2,0,7,2021,18,,202118,"[""14330530"",""14327868""]",5,2,1,
3,0,30,2022,13,,202213,"[""26678431"",""26712123"",""26721083""]",3,7,2,
0,0,2,2022,9,,20229,"[]",3,3,3,
1,0,14,2021,50,,202150,"[""21440768""]",12,1,0,
3,0,20,2022,3,,20223,"[""23851613"",""23836092"",""18645522""]",1,13,8,
2,0,28,2021,17,,202117,"[""14006336"",""1240176""]",4,7,2,
2,0,6,2022,1,,20221,"[""23273022"",""23296980""]",1,4,1,
2,0,22,2022,16,,202216,"[""27643744"",""27656780""]",4,3,2,
0,0,24,2021,34,,202134,"[]",8,2,0,
0,0,11,2022,23,,202223,"[]",6,4,2,
2,0,9,2021,40,,202140,"[""18745026"",""16424744""]",10,3,1,
0,0,5,2021,14,,202114,"[]",4,1,0,
0,0,28,2021,52,,202152,"[]",12,2,1,
1,0,21,2021,20,,202120,"[""14691150""]",5,1,0,
1,0,16,2022,7,,20227,"[""13539778""]",2,6,2,
1,0,2,2022,22,,202222,"[""29324726""]",6,7,6,
3,0,19,2022,20,,202220,"[""28674138"",""28721977"",""28713569""]",5,13,8,
1,0,25,2022,25,,202225,"[""30245549""]",6,2,1,
5,0,8,2022,14,,202214,"[""2953691"",""21345135"",""26172355"",""24569138"",""27111564""]",4,37,12,
0,0,11,2022,10,,202210,"[]",3,5,2,
0,0,10,2022,19,,202219,"[]",5,1,1,
1,0,24,2022,21,,202221,"[""28871265""]",5,3,3,
2,0,7,2022,6,,20226,"[""24515227"",""11929478""]",2,3,1,
1,0,30,2021,21,,202121,"[""14752983""]",5,1,0,
1,0,19,2021,50,,202150,"[""15482804""]",12,3,0,
1,0,20,2022,11,,202211,"[""26213211""]",3,3,0,
1,0,22,2021,25,,202125,"[""15428620""]",6,1,0,
2,0,28,2021,30,,202130,"[""16205078"",""16317315""]",7,2,0,
1,0,17,2022,15,,202215,"[""27460496""]",4,3,1,
1,0,18,2021,42,,202142,"[""19041580""]",10,3,0,
2,0,4,2022,27,,202227,"[""2885950"",""30622957""]",7,5,3,
1,0,25,2022,8,,20228,"[""19493665""]",2,4,1,
12,0,23,2021,12,,202112,"[""12594350"",""13094977"",""13108418"",""11451540"",""3295262"",""11459122"",""1693118"",""13102989"",""13110183"",""10620758"",""2905857"",""12076990""]",3,36,25,
0,0,9,2021,49,,202149,"[]",12,3,2,
2,0,19,2021,20,,202120,"[""13017266"",""14607914""]",5,2,0,
1,0,17,2022,3,,20223,"[""23670995""]",1,9,4,
2,0,3,2022,1,,20221,"[""7612480"",""21105773""]",1,21,12,
3,0,27,2022,17,,202217,"[""27831963"",""27842664"",""1227782""]",4,9,3,
3,0,16,2022,24,,202224,"[""29887974"",""28363181"",""29922330""]",6,6,3,
0,0,30,2021,13,,202113,"[]",3,2,2,
0,0,18,2022,7,,20227,"[]",2,2,1,
1,0,20,2021,24,,202124,"[""15379619""]",6,1,0,
8,0,5,2021,44,,202144,"[""16511170"",""19715279"",""19715610"",""19691641"",""19691628"",""19691691"",""19690381"",""19711297""]",11,17,7,
